timestamp,event_type,description
775.017,VICTIM_DETECTED,"Victim #1 at (-5.68, -12.38)"
778.073,VICTIM_DETECTED,"Victim #2 at (-5.67, -12.38)"
778.129,VICTIM_DETECTED,"Victim #3 at (-5.67, -12.38)"
781.193,VICTIM_DETECTED,"Victim #4 at (-5.67, -12.38)"
781.235,VICTIM_DETECTED,"Victim #5 at (-5.67, -12.38)"
784.355,VICTIM_DETECTED,"Victim #6 at (-5.68, -12.38)"
784.39,VICTIM_DETECTED,"Victim #7 at (-5.68, -12.38)"
787.411,VICTIM_DETECTED,"Victim #8 at (-5.67, -12.38)"
787.459,VICTIM_DETECTED,"Victim #9 at (-5.67, -12.38)"
790.605,VICTIM_DETECTED,"Victim #10 at (-5.68, -12.38)"
790.636,VICTIM_DETECTED,"Victim #11 at (-5.68, -12.38)"
793.702,VICTIM_DETECTED,"Victim #12 at (-5.68, -12.38)"
793.735,VICTIM_DETECTED,"Victim #13 at (-5.68, -12.38)"
